Title,Album,Artist,Genre,Year,Link,Date Added,Discovery Source,Notes,Known Issues
Letting Go,Letting Go,Mont Blvck,Deep House,2018,https://www.youtube.com/watch?v=8lvlio5c6Uw,2022-10-06,Youtube,,
Solid Gold ft. BSHP,Solid Gold,Disciples,Dance,2021,https://www.youtube.com/watch?v=---oVsIya-w,2022-10-06,Heldeep Radio #354,,
Sky Is Crying ft. Yuna,Dreamland,Zhu,Dance,2021,https://www.youtube.com/watch?v=6ZS71EApldw,2022-10-06,Heldeep Radio #354,,
Streets (Disclosure Remix),Streets,Doja Cat,Dance,2021,https://www.youtube.com/watch?v=WXGk4WAN7ss,2022-10-06,Heldeep Radio #354,,
Stay,Stay,Donkong,Dance,2021,https://www.youtube.com/watch?v=ybpweIuLeuw,2022-10-06,Heldeep Radio #354,,
Pump The Brakes,Pump The Brakes,Dom Dolla,Dance,2021,https://www.youtube.com/watch?v=_q3lFjLxP7U,2022-10-06,Heldeep Radio #354,,
Closer,Closer,Nø Signe,Future House,2021,https://www.youtube.com/watch?v=hbVipDHwx7o,2022-10-06,Heldeep Radio #354,,
High On You,High On You,Matroda,House,2021,https://www.youtube.com/watch?v=SpVRtRFb7jc,2022-10-06,Heldeep Radio #354,,
Dumb Things,Dumb Things,Disco Fries & Molly Moore,Dance,2021,https://www.youtube.com/watch?v=LK7vNLffEaw,2022-10-06,Heldeep Radio #354,,
Foolproof,Foolproof,Hayden James & Gorgon City & Nat Dunn,House,2021,https://www.youtube.com/watch?v=NGHbDmyjsFA,2022-10-06,Heldeep Radio #354,,no album art
Can't Get Enough ft. Faber,Can't Get Enough,Maur & Roobinz ,House,2021,https://www.youtube.com/watch?v=xCeUiRFTDCY,2022-10-06,Heldeep Radio #354,,
Cryptic Speech,Cryptic Speech,Umek,Driving Techno,2021,https://www.youtube.com/watch?v=K8-_Beu1e3A,2022-10-06,Heldeep Radio #354,,
Somnium,Somnium,Leon Bolier & Estuera,Trance,2021,https://www.youtube.com/watch?v=fqND9ZX7m0Y,2022-10-06,Heldeep Radio #354,,no album art
Gravity ft. Hayley May,Gravity,Lee Foss & Martin Ikin,House,2020,https://www.youtube.com/watch?v=RWmiy99E-po,2022-10-06,Heldeep Radio #318,,
Run,Run,Lane 8 & Kasablanca,Dance,2020,https://www.youtube.com/watch?v=7ppx4tUkOiw,2022-10-06,Heldeep Radio #318,,
Singshower ft. Emy Perez,Singshower,Promise Land,Dance,2020,https://www.youtube.com/watch?v=UCFAVPr8p0U,2022-10-06,Heldeep Radio #318,,
Live Without Your Love,Live Without Your Love,Love Regenerator & Steve Lacy & Calvin Harris,Dance,2020,https://www.youtube.com/watch?v=CcqgVHLJU_0,2022-10-06,Heldeep Radio #318,,no album art
You,Nver,Lost Prince,Dance,2020,https://www.youtube.com/watch?v=X4p2GwgJGtQ,2022-10-06,Heldeep Radio #318,,
Waves of Gold ft. Paije,Waves of Gold,Hayden James & Azteck,House ,2020,https://www.youtube.com/watch?v=HK54J7a6Tks,2022-10-06,Heldeep Radio #318,,
5 Seconds Before Sunrise,5 Seconds Before Sunrise,Ver:West,Melodic House,2020,https://www.youtube.com/watch?v=4w_mE6g5eao,2022-10-06,Heldeep Radio #318,,
Indiance,Indiance,Prok & Fitch,Tech House,2020,https://www.youtube.com/watch?v=wUxHLZG3-Ec,2022-10-06,Heldeep Radio #318,,
Mars,Mars,Shadow Child,Dance,2020,https://www.youtube.com/watch?v=p0vROZE3mM0,2022-10-06,Heldeep Radio #318,,
Along Came Polly,Along Came Polly,Rebūke,Tech House,2018,https://www.youtube.com/watch?v=-kLvsKZMLh4,2022-10-06,Grant,,
Wanna Go Bang,Wanna Go Bang,Hi-Lo & DJ Deeon,Driving Techno,2022,https://www.youtube.com/watch?v=2AD07_0zlGc,2022-10-06,Youtube,,
In Chicago,In Chicago,John Summit,Dance,2022,https://www.youtube.com/watch?v=uiapDP26nwY,2022-10-06,Grant,,
Resist,Resist,Max Styler,Tech House,2022,https://www.youtube.com/watch?v=mLya1nda1vs,2022-10-06,Youtube,,
Deep In Your Love,"HELDEEP DJ Tools, Pt. 11",Robby East,Bass House,2020-04-11,https://www.youtube.com/watch?v=TkBhJRtm8FM,2022-10-07,Heldeep Radio #303,,no album art
Back To Funk,Back To Funk,Martin Ikin & Sammy Porter,Tech House,2020-03-27,https://www.youtube.com/watch?v=MIEhWSkXfxs,2022-10-07,Heldeep Radio #303,,
Every Color (Dombresky Remix),Every Color,Louis The Child & Foster The People,Dance,2020-04-15,https://www.youtube.com/watch?v=R-Y34VKScW0,2022-10-07,Heldeep Radio #303,,
Time,Time,Beacon & Kölsch,Melodic House,2020-03-27,https://www.youtube.com/watch?v=fYp9Tc00HOQ,2022-10-07,Heldeep Radio #303,,no album art
Coming Home,Coming Home,A-trak & Ferreck Dawn,House,2020-02-21,https://www.youtube.com/watch?v=IXLyL5ANiCk,2022-10-07,Heldeep Radio #303,,
Captain Duck,Captain Duck,Duck Sauce,House,2020-03-27,https://www.youtube.com/watch?v=y9ZyGXbbols,2022-10-07,Heldeep Radio #303,,
Deep Inside 2020,Jack The House,Matroda,Bass House,2020-06-12,https://www.youtube.com/watch?v=yTlKooxwWd0,2022-10-07,Heldeep Radio #303,,
